stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening F:\C-projects\C-games\blasteroids\SELF-CONTAINED\bin\Debug\allegro5.cfg r
system   D            wsystem.c:682  load_library_at_path             [   0.26412] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:685  load_library_at_path             [   0.26484] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   0.26489] Module "d3dx9_43.dll" loaded.
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26499] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26502] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26503] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26505] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26507] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26508] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26510] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26512] Fake format
d3d      D         d3d_disp.cpp:1188 real_choose_bitmap_format        [   0.26513] Fake format
d3d      D         d3d_disp.cpp:1196 real_choose_bitmap_format        [   0.26514] Alpha doesn't match
d3d      D         d3d_disp.cpp:1203 real_choose_bitmap_format        [   0.26515] Adapter format is 23
d3d      D         d3d_disp.cpp:1206 real_choose_bitmap_format        [   0.26516] Found a format
d3d      I         d3d_disp.cpp:2378 d3d_create_bitmap                [   0.26517] Chose bitmap format 9
dtor     D               dtor.c:196  _al_register_destructor          [   0.26564] added dtor for bitmap 034F3E90, func 61CC1C7B
audio-dsound I           dsound.cpp:249  _dsound_open                     [   0.26571] Starting DirectSound...
dinput   E         wjoydxnu.cpp:430  _al_win_joystick_dinput_grab     [   0.27061] IDirectInputDevice8_SetCooperativeLevel failed.
audio-dsound D           dsound.cpp:258  _dsound_open                     [   0.33263] DirectSoundCreate8 succeeded
audio    I              audio.c:347  do_install_audio                 [   0.33782] Using DirectSound driver
audio-dsound D           dsound.cpp:290  _dsound_allocate_voice           [   0.33788] Allocating voice
audio-dsound D           dsound.cpp:349  _dsound_allocate_voice           [   0.33790] Allocated voice
dtor     D               dtor.c:196  _al_register_destructor          [   0.33791] added dtor for voice 034E0580, func 61DC5398
dtor     D               dtor.c:196  _al_register_destructor          [   0.33793] added dtor for mixer 03542958, func 61DC1429
audio-dsound D           dsound.cpp:446  _dsound_start_voice              [   0.33795] Starting voice
audio-dsound D           dsound.cpp:474  _dsound_start_voice              [   0.33796] CreateSoundBuffer
audio-dsound D           dsound.cpp:483  _dsound_start_voice              [   0.34258] CreateSoundBuffer succeeded
audio-dsound D           dsound.cpp:489  _dsound_start_voice              [   0.34272] Starting _dsound_update thread
audio-dsound I           dsound.cpp:499  _dsound_start_voice              [   0.34305] Voice started
dtor     D               dtor.c:196  _al_register_destructor          [   0.34313] added dtor for sample_instance 03541D00, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34318] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34320] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34321] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34325] added dtor for sample_instance 03542C88, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34330] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34334] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34335] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34346] added dtor for sample_instance 03542F98, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34349] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34353] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34355] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34357] added dtor for sample_instance 03543088, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34360] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34361] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34362] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34367] added dtor for sample_instance 03542A68, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34395] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34398] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34399] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34402] added dtor for sample_instance 0354FCF0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34404] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34405] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34407] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34408] added dtor for sample_instance 0354F930, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34410] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34411] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34412] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34413] added dtor for sample_instance 0354F2A0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34414] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34416] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34417] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34418] added dtor for sample_instance 0354FFC0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34420] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34422] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34423] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34424] added dtor for sample_instance 0354FA20, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34426] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34427] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34429] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34431] added dtor for sample_instance 0354FB10, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34433] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34434] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34435] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34437] added dtor for sample_instance 0354F660, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34439] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34442] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34444] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34447] added dtor for sample_instance 0354F750, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34450] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34452] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34453] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34455] added dtor for sample_instance 0354F840, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34456] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34458] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34459] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.34461] added dtor for sample_instance 0354FDE0, func 61DBB8F3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.34462] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.34463] 
